validity_percentage,valid_matches,total_matches,avg_similarity_score,execution_time,iteration
100.0,536,536,93.42621842958538,1935.4329254627228,0
100.0,524,524,93.43116488775478,1889.4456725120544,1
100.0,530,530,93.44991544627158,1912.2001614570618,2
100.0,513,513,93.37655699558353,1883.9294431209564,3
100.0,517,517,93.44213799347565,591.0102090835571,4
100.0,499,499,93.42720048794193,1882.0695719718933,0
100.0,501,501,93.44447760021913,1937.1184916496277,1
100.0,532,532,93.4059972537841,1965.8792629241943,2
100.0,549,549,93.36354668051483,1881.3899188041687,3
100.0,510,510,93.47942980465805,568.919177532196,4
100.0,486,486,93.4829563590639,1893.1201462745667,0
100.0,514,514,93.46501080672783,1898.9767854213715,1
100.0,490,490,93.51755200735522,1848.026004076004,2
100.0,523,523,93.44618408547508,1931.1226942539215,3
100.0,511,511,93.44569851340306,623.6513965129852,4
100.0,544,544,93.41551677623512,1941.5295403003693,0
100.0,529,529,93.35030508957763,1904.3194880485535,1
100.0,499,499,93.54489157743609,1898.6215052604675,2
100.0,535,535,93.404581850639,1913.9610667228699,3
100.0,519,519,93.42807933440808,575.3918569087982,4
100.0,515,515,93.38270809065351,1918.6946563720703,0
100.0,526,526,93.45395969221906,1870.5794200897217,1
100.0,501,501,93.37554649750403,1902.6397995948792,2
100.0,509,509,93.40309611775844,1896.0451083183289,3
100.0,534,534,93.45742841288627,1913.3059661388397,0
100.0,510,510,93.48425493207448,1878.6996269226074,1
100.0,515,515,93.45893874449536,1884.670912027359,2
100.0,521,521,93.42557781163696,1918.5648863315582,3
100.0,538,538,93.45808965329154,1954.7561461925507,0
100.0,515,515,93.46512635799013,1873.6641466617584,1
100.0,524,524,93.44614433225686,1903.4644703865051,2
100.0,504,504,93.44550658788616,1866.9223370552063,3
100.0,524,524,93.31892984627207,1927.4199137687683,0
100.0,512,512,93.46501250421585,1931.7387599945068,1
100.0,491,491,93.50920186839002,1888.04567694664,2
100.0,511,511,93.4320731145969,1879.713958978653,3
100.0,508,508,93.4609744296696,1869.4964027404785,0
100.0,530,530,93.36419472054267,1930.8509621620178,1
100.0,513,513,93.39384502408937,1903.47691822052,2
100.0,542,542,93.37224099323386,1947.6610236167908,3
99.8109640831758,528,529,93.45445008115989,1904.8388140201569,0
100.0,528,528,93.45031723354622,1923.9799644947052,1
100.0,519,519,93.45528277491144,1907.7169482707977,2
100.0,508,508,93.46544000925935,1907.9063875675201,3
100.0,539,539,93.29441239097098,1984.8271534442902,0
100.0,508,508,93.4117996747498,1895.2252373695374,1
100.0,533,533,93.3360210072598,1956.4760501384735,2
100.0,548,548,93.3381836622534,1861.2029762268066,3
100.0,526,526,93.33385912480979,1934.850681066513,0
100.0,522,522,93.47562305472937,1929.0310804843903,1
100.0,527,527,93.38170773169423,1933.4824306964874,2
100.0,532,532,93.31341106847346,1878.4109859466553,3
100.0,527,527,93.40463041272031,1927.7288436889648,0
100.0,534,534,93.33841983441687,1946.0504670143127,1
100.0,519,519,93.43509719719908,1899.1662151813507,2
100.0,529,529,93.40830741539553,1897.278727054596,3
100.0,544,544,93.42178351590337,1949.8382482528687,0
100.0,520,520,93.43015692730623,1925.673981666565,1
100.0,533,533,93.44198482040856,1884.868046760559,2
100.0,541,541,93.44635039604952,1898.2618436813354,3
100.0,534,534,93.42971244536538,1929.7197515964508,0
100.0,543,543,93.38435347277807,1959.36026096344,1
100.0,525,525,93.38890285418566,1887.4423243999481,2
100.0,524,524,93.45077794905346,1869.6712262630463,3
100.0,502,502,93.43781645579413,1872.0563564300537,0
100.0,531,531,93.46725853975613,1936.375384092331,1
100.0,513,513,93.49420310664614,1883.2674734592438,2
100.0,523,523,93.43467630691485,1914.9753918647766,3
100.0,523,523,93.51681374617242,1933.8281466960907,0
100.0,508,508,93.45540036627132,1899.1292080879211,1
99.800796812749,501,502,93.50799538452206,1889.0289413928986,2
100.0,530,530,93.47682250538473,1899.729817390442,3
100.0,520,520,93.49657826856051,1935.3132629394531,0
100.0,548,548,93.34853506201526,1999.0888319015503,1
100.0,545,545,93.44852982996191,1922.1574351787567,2
100.0,523,523,93.44122399903215,1830.1110446453094,3
100.0,512,512,93.50502255811179,1887.4688634872437,0
100.0,520,520,93.40229129868037,1923.2841069698334,1
100.0,535,535,93.40785498557014,1949.727175951004,2
100.0,542,542,93.44580665239411,1900.383727312088,3
100.0,511,511,93.4701793141147,1885.8868126869202,0
100.0,544,544,93.40072280427077,1907.6135292053223,1
100.0,518,518,93.47164667301928,1883.2156403064728,2
100.0,516,516,93.38702453415686,1868.305755853653,3
100.0,540,540,93.36011224126541,1970.3557543754578,0
100.0,534,534,93.42802708691435,1942.2830481529236,1
100.0,514,514,93.49009167398171,1876.7373225688934,2
100.0,523,523,93.43244124508682,1876.955088376999,3
100.0,532,532,93.40030915954969,1959.4024057388306,0
100.0,528,528,93.44305769465653,1907.7892546653748,1
100.0,504,504,93.41548560739376,1891.2726933956146,2
100.0,534,534,93.39443449211257,1883.6535494327545,3
100.0,520,520,93.35448536855743,1918.1548159122467,0
100.0,507,507,93.48986281960183,1911.3536698818207,1
100.0,515,515,93.44062878012015,1916.2230534553528,2
100.0,517,517,93.52494769472615,1882.4510779380798,3
100.0,524,524,93.50210025003965,1886.456262588501,0
100.0,518,518,93.47021543648029,1898.3012325763702,1
100.0,522,522,93.36463805340188,1906.0690157413483,2
100.0,519,519,93.44652076426351,1919.8885040283203,3
