validity_percentage,valid_matches,total_matches,avg_similarity_score,execution_time,iteration
100.0,2657,2657,95.4499476030996,9918.971672058105,0
100.0,2664,2664,95.46036945697135,9892.336557388306,1
100.0,2668,2668,95.45048634741966,9905.543989181519,2
100.0,2660,2660,95.44340929082506,9847.819231033325,3
100.0,2650,2650,95.4487293265469,2995.5987944602966,4
100.0,2681,2681,95.44608146726198,9973.011580944061,0
100.0,2632,2632,95.46211236458872,9849.353517532349,1
100.0,2678,2678,95.46129805888054,9856.975852251053,2
100.0,2699,2699,95.4472857274236,9882.6471221447,3
100.0,2666,2666,95.4541726977441,3013.6549277305603,4
100.0,2653,2653,95.4642598143231,9778.576252937317,0
100.0,2653,2653,95.46417145383765,9825.00144815445,1
100.0,2684,2684,95.45315670911337,9903.133664608002,2
100.0,2680,2680,95.44358927892522,9849.63300037384,3
100.0,2667,2667,95.45652378845404,3118.271199464798,4
100.0,2718,2718,95.44605911816252,9852.970304489136,0
100.0,2653,2653,95.46113586841669,9813.04117512703,1
100.0,2695,2695,95.45489785289847,9819.023932695389,2
100.0,2641,2641,95.46235862142072,9773.7631919384,3
100.0,2711,2711,95.43823327852623,3204.809581041336,4
100.0,2658,2658,95.45712150323412,9889.052186727524,0
100.0,2628,2628,95.46276772853595,9807.633920907974,1
100.0,2637,2637,95.45722746066473,9785.59051990509,2
100.0,2651,2651,95.45141919600465,9882.251518249512,3
100.0,2625,2625,95.45354829284787,9851.380660533905,0
100.0,2716,2716,95.44999133604301,10027.581362962723,1
100.0,2704,2704,95.45179237045615,9951.68018245697,2
100.0,2700,2700,95.43537687200727,9808.386052846909,3
100.0,2704,2704,95.4443378079944,9928.402055501938,0
100.0,2638,2638,95.46971511466766,9852.211189031601,1
100.0,2698,2698,95.43905403210287,10023.679165124893,2
100.0,2734,2734,95.44073627253479,9870.128359794617,3
100.0,2704,2704,95.44357572799605,9975.499705791473,0
100.0,2701,2701,95.44907651005215,9965.588063716888,1
100.0,2714,2714,95.44661975620453,10036.12997508049,2
100.0,2694,2694,95.45445805005896,9692.944257736206,3
100.0,2684,2684,95.44636091974822,9901.024391651154,0
100.0,2631,2631,95.4605021035518,9905.759504795074,1
100.0,2659,2659,95.4513982086962,9851.780782222748,2
100.0,2681,2681,95.45404476998932,9877.918005943298,3
100.0,2646,2646,95.4469034361286,9769.573199033737,0
100.0,2737,2737,95.45007094764067,9916.935589790344,1
100.0,2695,2695,95.44625134850318,9935.390694618225,2
100.0,2643,2643,95.46036093234724,9813.819157361984,3
100.0,2700,2700,95.44122501991608,9993.185574054718,0
100.0,2661,2661,95.46041913128903,9962.74940609932,1
100.0,2684,2684,95.44574100175616,9969.443818330765,2
100.0,2702,2702,95.44278772293715,9722.308034420013,3
100.0,2684,2684,95.42594899841805,9884.032628536224,0
100.0,2722,2722,95.45106090386672,9940.624391078949,1
100.0,2685,2685,95.44179895339838,9862.765840530396,2
100.0,2701,2701,95.44739302912025,9863.056249856949,3
100.0,2707,2707,95.44423215079713,9830.533815383911,0
100.0,2610,2610,95.47737748964987,9766.217540979385,1
100.0,2662,2662,95.43530308615597,9888.168625354767,2
100.0,2690,2690,95.45236185401144,9937.161204099655,3
100.0,2659,2659,95.45019433027534,9881.500239133835,0
100.0,2729,2729,95.43993032044523,9931.822590589523,1
100.0,2692,2692,95.43435202462068,9954.903446912766,2
100.0,2693,2693,95.45910252690096,9820.909060955048,3
100.0,2675,2675,95.44480748813969,9921.299072742462,0
100.0,2679,2679,95.45556231525019,9894.335731506348,1
100.0,2681,2681,95.44512311190942,9918.698270082474,2
100.0,2699,2699,95.43777413032973,9853.16921210289,3
100.0,2682,2682,95.44581390678421,9830.368542432785,0
100.0,2680,2680,95.45079586287308,9896.879387378693,1
100.0,2690,2690,95.44950479550894,9884.894176721573,2
100.0,2680,2680,95.4397746797318,9868.847771167755,3
100.0,2660,2660,95.43755105786036,9860.672101259232,0
100.0,2671,2671,95.447545289902,9918.840651512146,1
100.0,2664,2664,95.45969636514916,9848.660679340363,2
100.0,2699,2699,95.45405825474282,9866.470617294312,3
100.0,2659,2659,95.46872485605404,9888.097836256027,0
100.0,2666,2666,95.46053927193711,9906.131627321243,1
100.0,2670,2670,95.44955716453765,9926.755665302277,2
100.0,2670,2670,95.45711348612869,9847.746364831924,3
100.0,2712,2712,95.42778423610265,9998.227247953415,0
100.0,2640,2640,95.47003088481844,9878.48817205429,1
100.0,2632,2632,95.47053240164021,9836.229600191116,2
100.0,2659,2659,95.45623538539998,9775.879376888275,3
100.0,2694,2694,95.43400327295156,10032.588536024094,0
100.0,2687,2687,95.45545572159126,9945.576178073883,1
100.0,2698,2698,95.44428098637495,9934.64340376854,2
100.0,2662,2662,95.45081215214806,9736.115564346313,3
100.0,2678,2678,95.46044840403545,9815.166457653046,0
100.0,2705,2705,95.45055637691469,9917.887043952942,1
