validity_percentage,valid_matches,total_matches,avg_similarity_score,execution_time,iteration
99.675,3987,4000,95.15144069978399,17.40915846824646,1
99.725,3989,4000,95.14297194272882,17.454545497894287,0
99.55000000000001,3982,4000,95.1374193226954,17.507526874542236,2
99.625,3985,4000,95.15057849035298,17.6644926071167,3
99.575,3983,4000,95.15261135047845,17.812278509140015,4
99.65,3986,4000,95.13882995444166,17.907004356384277,5
99.825,3993,4000,95.15672775805929,17.904982089996338,6
99.65,3986,4000,95.14580416551827,17.96446704864502,7
99.625,3985,4000,95.13969499878951,18.071110725402832,8
99.775,3991,4000,95.15251868719326,18.126281261444092,9
99.7,3988,4000,95.1508778483861,18.140247106552124,12
99.7,3988,4000,95.14911969606565,18.219244241714478,11
99.625,3985,4000,95.14924821416308,18.476128339767456,10
99.675,3987,4000,95.15165354508213,18.243462800979614,13
99.7,3988,4000,95.15641143369726,18.269928693771362,15
99.775,3991,4000,95.15572245982811,18.438835382461548,14
99.675,3987,4000,95.15213057015983,18.298668384552002,16
99.6,3984,4000,95.15358704889292,18.114073514938354,18
99.65,3986,4000,95.15156503687385,18.390493869781494,17
99.47500000000001,3979,4000,95.14762393537974,18.222681760787964,19
99.9,3996,4000,95.14503442329736,18.093702793121338,20
99.675,3987,4000,95.15068067548383,18.198549509048462,21
99.85000000000001,3994,4000,95.14641195973812,18.2930645942688,22
99.52499999999999,3981,4000,95.15268929674517,17.813714742660522,23
99.575,3983,4000,95.14434018509976,17.320170164108276,25
99.7,3988,4000,95.1527300401638,17.343502044677734,24
99.625,3985,4000,95.14365740553626,17.31395196914673,26
99.75,3990,4000,95.15283219904673,17.31976079940796,27
99.625,3985,4000,95.15537793174295,17.20737099647522,28
99.6,3984,4000,95.14354091654388,17.27096128463745,30
99.55000000000001,3982,4000,95.15355328321502,17.281006574630737,29
99.7,3988,4000,95.15016889743256,17.45511746406555,31
99.825,3993,4000,95.14791596551618,17.285460233688354,32
99.75,3990,4000,95.15765792614236,17.0841166973114,34
99.675,3987,4000,95.15660113494921,17.263890027999878,33
99.7,3988,4000,95.156346481366,17.265761613845825,35
99.7,3988,4000,95.15677832126448,17.15748620033264,36
99.675,3987,4000,95.1493933717711,17.126687049865723,37
99.775,3991,4000,95.14759478108267,17.222257614135742,38
99.6,3984,4000,95.14419093860609,17.31550168991089,39
99.6,3984,4000,95.15578132631167,17.066457509994507,43
99.725,3989,4000,95.14636361642529,17.406123876571655,40
99.65,3986,4000,95.14203875300288,17.360982418060303,41
99.75,3990,4000,95.14684010431223,17.246227741241455,44
99.725,3989,4000,95.14575337266646,17.57053232192993,42
99.75,3990,4000,95.15033132058443,17.00694513320923,45
99.65,3986,4000,95.14634029124103,17.038638591766357,47
99.65,3986,4000,95.14417317949574,17.267918825149536,46
99.675,3987,4000,95.14228474985646,16.98117184638977,49
99.625,3985,4000,95.1660400646195,17.163018226623535,48
99.575,3983,4000,95.14537331976189,17.145689010620117,50
99.75,3990,4000,95.14923684795251,16.88444185256958,51
99.775,3991,4000,95.14320916339709,16.991296529769897,52
99.55000000000001,3982,4000,95.14716964709827,16.963629007339478,54
99.675,3987,4000,95.14667382931604,17.022847652435303,53
99.75,3990,4000,95.14195926204529,16.94178056716919,55
99.75,3990,4000,95.15239110202086,16.96343970298767,56
99.65,3986,4000,95.1460752504134,16.874162673950195,57
99.75,3990,4000,95.1558320110596,16.862313747406006,59
99.675,3987,4000,95.1522340337395,17.048259258270264,58
99.575,3983,4000,95.15165867526734,16.939305305480957,60
99.65,3986,4000,95.14436924503009,16.89200186729431,61
99.625,3985,4000,95.14766330772636,17.00293755531311,62
99.8,3992,4000,95.14060428717248,16.854712963104248,63
99.6,3984,4000,95.1576764703633,16.690918445587158,66
99.52499999999999,3981,4000,95.15912675755861,16.96731424331665,64
99.7,3988,4000,95.14721732073306,16.951770544052124,65
99.825,3993,4000,95.14116641873666,16.744463205337524,67
99.725,3989,4000,95.15241478000416,16.79561495780945,69
99.65,3986,4000,95.15366826898212,16.997684001922607,68
99.65,3986,4000,95.14740697684734,16.667933464050293,71
99.75,3990,4000,95.14839474306483,16.90499186515808,70
99.775,3991,4000,95.15225714877351,16.740615844726562,72
99.7,3988,4000,95.15053690593643,16.848795652389526,73
99.8,3992,4000,95.14843319857431,16.730939626693726,74
99.8,3992,4000,95.15594610873576,16.647935390472412,75
99.85000000000001,3994,4000,95.15656104614877,16.673468828201294,76
99.45,3978,4000,95.14137648075408,16.48384118080139,77
99.75,3990,4000,95.14271667469558,16.56479811668396,78
99.775,3991,4000,95.1502471261311,16.596172332763672,79
99.725,3989,4000,95.14928568286814,16.335381984710693,80
99.7,3988,4000,95.15125286193839,16.161486387252808,81
99.825,3993,4000,95.1467807100138,16.13986372947693,82
99.825,3993,4000,95.15573340836741,16.147890329360962,83
99.52499999999999,3981,4000,95.16264514769658,16.03723955154419,84
99.675,3987,4000,95.15322233616757,15.851692199707031,85
99.675,3987,4000,95.15550595103778,15.59079098701477,86
99.7,3988,4000,95.15400530403298,15.559215307235718,87
99.7,3988,4000,95.14568069468368,15.213226079940796,88
99.575,3983,4000,95.14996358282694,15.175830364227295,89
99.725,3989,4000,95.15301571140388,15.065467596054077,90
99.725,3989,4000,95.14246909447735,15.048882722854614,91
99.75,3990,4000,95.1602677504807,14.912624597549438,92
99.65,3986,4000,95.1545308464673,14.780149459838867,93
99.55000000000001,3982,4000,95.14774593497995,14.590498208999634,94
99.7,3988,4000,95.14917895952605,14.507490158081055,95
99.8,3992,4000,95.15526336610651,6.170134544372559,96
99.725,3989,4000,95.15181742213689,5.923288583755493,98
99.75,3990,4000,95.14813195992271,5.9409096240997314,99
99.7,3988,4000,95.15336286806092,5.970732688903809,97
